Код;Описание;Уровень
E1010300;Регистрационное оборудование;4
E1010400;Гардеробное оборудование;4
E1010500;Торговое оборудование;4
E1010510;Витрина;5
E1010520;Касса;5
E1010600;Оборудование для прачеченой и химчистки;4
E1010610;Прачечное оборудование - Стиральные машины и сушилки;5
E1010620;Прачечное оборудование - Гладильное оборудование;5
E1010700;Торговое автономное оборудование;4
E1010800;Офисное оборудование;4
E1010900;Другое коммерческое оборудование;4
E1020;Узкоспециализированное оборудование;3
E1020100;Церковное оборудование;4
E1020110;Церковное оборудование - Шпили и колокола;5
E1020120;Церковное оборудование - Относящееся к крещению, купели;5
E1020130;Церковное оборудование - Скамьи;5
E1020200;Библиотечное оборудование;4
E1020210;Библиотечное оборудование - Индивидуальная кабина;5
E1020230;Библиотечное оборудование - Полки и столы;5
E1020300;Театральное и сценическое оборудование;4
E1020310;Театральное оборудование - Проектор;5
E1020320;Театральное оборудование - Светильники и дорожки;5
E1020330;Театральное оборудование - Шторы;5
E1020400;Инструментальное оборудование;4
E1020500;Аудиовизуальное оборудование;4
E1020600;Тюремное оборудование;4
E1020700;Лабораторное оборудование;4
E1020710;Лабораторное оборудование;5
E1020720;Лабораторные шкафы и столешницы;5
E1020730;Лабораторные вытяжки;5
E1020800;Медицинское оборудование;4
E1020810;Медицинская мебель и оборудование;5
E1020820;Рентгеновское оборудование;5
E1020900;Другое профессиональное оборудование;4
E1030;Автомобильное оборудование;3
E1030100;Оборудование автосервиса;4
E1030200;Оборудование для контроля парковки;4
E1030300;Оборудование погрузочной платформы;4
E1030900;Другое автотранспортное оборудование;4
E1090;Другое оборудование;3
E1090100;Оборудование для технического обслуживания;4
E1090200;Оборудование для обработки твердых отходов;4
E1090300;Оборудование для предприятий общественного питания;4
E1090310;Предприятия общественного питания - Столы и столешницы;5
E1090320;Предприятия общественного питания - Бытовая техника и оборудование;5
E1090330;Предприятия общественного питания - Камерные холодильники;5
E1090400;Жилое оборудование;4
E1090500;Оборудование для фотокомнаты (тёмной комнаты);4
E1090600;Оборудование для мойки окон;4
E1090900;Другое оборудование;4
E20;Мебель;2
E2010;Встроенная мебель;3
E2010100;Встроенная картина;4
E2010200;Встроенные шафы и столешницы;4
E2010300;Занавески;4
E2010310;Занавески - Жалюзи;5
E2010320;Занавески - Рулонные шторы;5
E2010330;Занавески - Шторы;5
E2010400;Встроенные напольные решетки и ковры;4
E2010500;Встроенные кресла и скамейки;4
E2010600;Встроенные элементы ландшафтного дизайна;4
E2020;Передвижная мебель;3
E2020100;Передвижные картины;4
E2020200;Мебель и аксессуары;4
E2020300;Ковры и маты;4
E2020400;Передвижные кресла и скамейки;4
E2020500;Передвижные элементы ландшафтного дизайна;4
F;Специальные конструкции и демонтаж;1
F10;Специальные конструкции;2
F1010;Специальные сооружения;3
F1010100;Воздухоопорные, надувные сооружения;4
F1010200;Конструкции индивидуального изготовления;4
F1010300;Другие специальные конструкции;4
F1020;Встраимое строительство;3
F1020100;Встроенные блоки;4
F1020200;Встриваемые помещения специального назначения;4
F1020300;Другие встроенные конструкции, блоки;4
F1030;Специальные строительные системы;3
F1030100;Звукозащитные, виброзащитные и сейсмозащитные конструкции;4
F1030200;Радиационная защита;4
F1030300;Специальные конструкции для систем безопасности;4
F1030400;Своды;4
F1030900;Другие специальные строительные системы;4
F1040;Специальные сооружения;3
F1040100;Водные принадлежности;4
F1040200;Ледовые катки;4
F1040300;Сжигательная печь на стройплощадке;4
F1040400;Питомники и приюты для животных;4
F1040500;Резервуары для хранения жидкости и газа;4
F1040900;Другие специализированные сооружения;4
F1050;Специализированные элементы управления и приборы;3
F1050100;Звукозаписывающее оборудование;4
F1050200;Автоматизированная система управления инженерным оборудованием здания;4
F1050900;Другие специальные приборы управления;4
F20;Частичный демонтаж здания;2
F2010;Сносимые строительные элементы;3
F2010100;Сносимые внутренние элементы здания;4
F2010200;Сносимые внешние элементы здания;4
F2020;Устранение опасных элементов здания;3
F2020100;Удаление опасных компонентов;4
F2020200;Защита, огораживание опасных компонентов;4
G;Строительная площадка;1
G10;Подготовка строительной площадки;2
G1010;Очистка площадки;3
G1010100;Уборка мусора и корчевание;4
G1010200;Удаление деревьев и измельчение;4
G1020;Демонтаж на площадке и перемещения;3
G1020100;Снос здания;4
G1020200;Снос компонентов площадки;4
G1020300;Перемещение зданий;4
G1020400;Вынос инженерных сетей;4
G1030;Земляные работы по площадке;3
G1030100;Планировка площадки экскаватором и вывоз грунта;4
G1030200;Обратная засыпка;4
G1030300;Укрепление и стабилизация грунта;4
G1030400;Водопонижение на площадке;4
G1030500;Подпорные стенки котлованов;4
